
📺｜4K频道,#genre#
北京IPTV 4K,http://221.179.217.76/PLTV/88888888/224/3221226550/1.m3u8
苏州 4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
欢笑剧场 4K,https://live.v1.mk/api/bestv.php?id=hxjc4k/15000000
欢笑剧场 4K,http://bytedance.live.cqccn.com/__cl/cg:live/__c/hxjc_4K/__op/default/__f//index.m3u8
CCTV 4K,https://live.v1.mk/api/bestv.php?id=cctv4k/15000000
CCTV 4K,http://159.75.85.63:5679/cctv4k.php
CCTV16 4K,https://live.v1.mk/api/bestv.php?id=cctv16hd4k/15000000
CCTV16 4K,https://live.v1.mk/aishang/cctv164k
CCTV16 4K,http://bytedance.live.cqccn.com/__cl/cg:live/__c/CCTV16_4K/__op/default/__f//index.m3u8
爱上 4K,https://live.v1.mk/aishang/as4k
爱上 4K,http://111.20.40.170/PLTV/88888893/224/3221226352/index.m3u8
超高清电影 4K,http://159.75.85.63:5681/sxg.php
爱自然 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
loupe 4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
Clarity 4K,https://d3thiix3tzne5u.cloudfront.net/playlist2160p.m3u8

📺｜央视频道,#genre#

CCTV-1 8M,https://live.v1.mk/api/bestv.php?id=cctv1hd高清/8000000
CCTV-1 综合高清,https://live.v1.mk/aishang/cctv1hd
CCTV-1 综合高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv1HD/__op/default/__f//index.m3u8

CCTV-2 财经高清,https://live.v1.mk/api/bestv.php?id=cctv2hd高清/8000000
CCTV-2 财经高清,https://live.v1.mk/aishang/cctv2hd
CCTV-2 财经高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv2HD/__op/default/__f//index.m3u8

CCTV-3 综艺高清,https://live.v1.mk/api/bestv.php?id=cctv3高清/8000000
CCTV-3 综艺高清,https://live.v1.mk/aishang/cctv3hd
CCTV-3 综艺高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv3HD/__op/default/__f//index.m3u8

CCTV-4 国际高清,https://live.v1.mk/api/bestv.php?id=cctv4hd高清/8000000
CCTV-4 国际高清,https://live.v1.mk/aishang/cctv4hd
CCTV-4 国际高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv4HD/__op/default/__f//index.m3u8

CCTV-5 体育高清,https://live.v1.mk/api/bestv.php?id=cctv5高清/8000000
CCTV-5 体育高清,https://live.v1.mk/aishang/cctv5hd
CCTV-5 体育高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv5HD/__op/default/__f//index.m3u8

CCTV5+ 体育高清,https://live.v1.mk/api/bestv.php?id=cctv5phd高清/8000000
CCTV5+ 体育高清,https://live.v1.mk/aishang/cctv5p
CCTV5+ 体育高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv5SportHD/__op/default/__f//index.m3u8

CCTV-6 电影高清,https://live.v1.mk/api/bestv.php?id=cctv6hd高清/8000000
CCTV-6 电影高清,https://live.v1.mk/aishang/cctv6hd
CCTV-6 电影高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv6HD/__op/default/__f//index.m3u8

CCTV-7 军事高清,https://live.v1.mk/api/bestv.php?id=cctv7hd高清/8000000
CCTV-7 军事高清,https://live.v1.mk/aishang/cctv7hd
CCTV-7 军事高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv7HD/__op/default/__f//index.m3u8

CCTV-8 电视剧高清,https://live.v1.mk/api/bestv.php?id=cctv8hd高清/8000000
CCTV-8 电视剧高清,https://live.v1.mk/aishang/cctv8hd
CCTV-8 电视剧高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv8HD/__op/default/__f//index.m3u8

CCTV-9 纪录高清,https://live.v1.mk/api/bestv.php?id=cctv9hd高清/8000000
CCTV-9 纪录高清,https://live.v1.mk/aishang/cctv9hd2
